date,account,category,amount,currency,converted amount,currency,description
27/03/2019,Cash,Transport,-7,PHP,-7,PHP,
27/03/2019,Cash,Sports,-50,PHP,-50,PHP,
27/03/2019,Cash,Food,-26,PHP,-26,PHP,
27/03/2019,Cash,Transport,-10,PHP,-10,PHP,
27/03/2019,BPI,To 'Cash',-500,PHP,-500,PHP,
27/03/2019,Cash,From 'BPI',500,PHP,500,PHP,
28/03/2019,Cash,Transport,-7,PHP,-7,PHP,
28/03/2019,Cash,Food,-62,PHP,-62,PHP,
28/03/2019,BDO,Communications,-150,PHP,-150,PHP,
28/03/2019,Cash,Entertainment,-54,PHP,-54,PHP,
29/03/2019,BPI,To 'Cash',-500,PHP,-500,PHP,
29/03/2019,Cash,From 'BPI',500,PHP,500,PHP,
29/03/2019,Cash,Transport,-51,PHP,-51,PHP,
29/03/2019,Cash,Entertainment,-240,PHP,-240,PHP,
29/03/2019,Cash,Food,-60,PHP,-60,PHP,
29/03/2019,Cash,Food,-67,PHP,-67,PHP,
29/03/2019,Cash,Food,-150,PHP,-150,PHP,
29/03/2019,Cash,Food,-30,PHP,-30,PHP,
30/03/2019,Cash,Book,-177,PHP,-177,PHP,
30/03/2019,Cash,Phone,-30,PHP,-30,PHP,
30/03/2019,Cash,Transport,-16,PHP,-16,PHP,
31/03/2019,BPI,To 'Cash',"-5,000",PHP,"-5,000",PHP,
31/03/2019,Cash,From 'BPI',"5,000",PHP,"5,000",PHP,
31/03/2019,Cash,Pets,"-2,000",PHP,"-2,000",PHP,
31/03/2019,Cash,Food,-141,PHP,-141,PHP,
31/03/2019,Cash,Gift,-20,PHP,-20,PHP,
01/04/2019,A/R 1,Phone,"-1,417.5",PHP,"-1,417.5",PHP,
01/04/2019,A/R 1,House,"-2,500",PHP,"-2,500",PHP,
01/04/2019,A/R 1,Laundry,"-1,000",PHP,"-1,000",PHP,
01/04/2019,Cash,Food,-63,PHP,-63,PHP,
01/04/2019,Cash,Food,-10,PHP,-10,PHP,
01/04/2019,Cash,Food,-35,PHP,-35,PHP,
01/04/2019,Cash,Transport,-7,PHP,-7,PHP,
01/04/2019,Cash,Transport,-23,PHP,-23,PHP,
02/04/2019,Cash,Food,-67,PHP,-67,PHP,
02/04/2019,Cash,Food,-47,PHP,-47,PHP,
02/04/2019,Cash,Food,-14,PHP,-14,PHP,
02/04/2019,Cash,Transport,-10,PHP,-10,PHP,
03/04/2019,Cash,Transport,-7,PHP,-7,PHP,
03/04/2019,BPI,Service Charge,-15,PHP,-15,PHP,
03/04/2019,BPI,To 'Cash',-400,PHP,-400,PHP,
03/04/2019,Cash,From 'BPI',400,PHP,400,PHP,
03/04/2019,Cash,Food,-26,PHP,-26,PHP,
03/04/2019,Cash,Transport,-15,PHP,-15,PHP,
03/04/2019,Cash,Sports,-50,PHP,-50,PHP,
03/04/2019,Cash,Food,-60,PHP,-60,PHP,
03/04/2019,Cash,Food,-62,PHP,-62,PHP,
04/04/2019,Cash,Gifts,"-1,000",PHP,"-1,000",PHP,
04/04/2019,BPI,To 'Cash',"-1,500",PHP,"-1,500",PHP,
04/04/2019,Cash,From 'BPI',"1,500",PHP,"1,500",PHP,
04/04/2019,Cash,Food,-31,PHP,-31,PHP,
04/04/2019,Cash,Food,-7,PHP,-7,PHP,
05/04/2019,Cash,Eating out,-249,PHP,-249,PHP,
05/04/2019,Cash,Food,-80,PHP,-80,PHP,
05/04/2019,Cash,Transport,-10,PHP,-10,PHP,
05/04/2019,Cash,Food,-22,PHP,-22,PHP,
06/04/2019,Cash,Food,-299,PHP,-299,PHP,
07/04/2019,Cash,Transport,-38,PHP,-38,PHP,
08/04/2019,Cash,Food,-160,PHP,-160,PHP,
08/04/2019,Cash,Food,-45,PHP,-45,PHP,
08/04/2019,Cash,Transport,-10,PHP,-10,PHP,
08/04/2019,Cash,Food,-60,PHP,-60,PHP,
09/04/2019,Cash,Food,-101,PHP,-101,PHP,
09/04/2019,Cash,Transport,-21,PHP,-21,PHP,
09/04/2019,Cash,Food,-29,PHP,-29,PHP,
09/04/2019,Cash,Transport,-10,PHP,-10,PHP,
10/04/2019,Cash,Food,-7,PHP,-7,PHP,
10/04/2019,Cash,Food,-28,PHP,-28,PHP,
10/04/2019,Cash,Food,-105,PHP,-105,PHP,
11/04/2019,Cash,Food,-11,PHP,-11,PHP,
11/04/2019,Cash,Transport,-10,PHP,-10,PHP,
11/04/2019,Cash,Food,-50,PHP,-50,PHP,
11/04/2019,Cash,Food,-37,PHP,-37,PHP,
12/04/2019,Cash,Eating out,-371,PHP,-371,PHP,
12/04/2019,Cash,Eating out,-115,PHP,-115,PHP,
12/04/2019,Cash,Food,-7,PHP,-7,PHP,
12/04/2019,BDO,Communications,-150,PHP,-150,PHP,
13/04/2019,Cash,Transport,-200,PHP,-200,PHP,
13/04/2019,Cash,Transport,-10,PHP,-10,PHP,
13/04/2019,Cash,Transport,-10,PHP,-10,PHP,
13/04/2019,Cash,Food,-21,PHP,-21,PHP,
14/04/2019,BPI,To 'Cash',"-5,000",PHP,"-5,000",PHP,
14/04/2019,Cash,From 'BPI',"5,000",PHP,"5,000",PHP,
14/04/2019,Cash,Gifts,"-2,515",PHP,"-2,515",PHP,
15/04/2019,Cash,Food,-7,PHP,-7,PHP,
15/04/2019,Cash,Transport,-7,PHP,-7,PHP,
15/04/2019,Cash,Food,-61,PHP,-61,PHP,
15/04/2019,Cash,Transport,-10,PHP,-10,PHP,
15/04/2019,Cash,Food,-55,PHP,-55,PHP,
16/04/2019,Cash,Food,-7,PHP,-7,PHP,
16/04/2019,Cash,Transport,-8,PHP,-8,PHP,
